Sale_ID,Product_ID,Store_ID,Sale_Date,Quantity_Sold,Revenue
0d12b607,P001,S102,2024-01-01,322,2556
2e13fe47,P003,S101,2024-01-02,28,42606
c05afd2d,P003,S104,2024-01-03,292,19551
aff62361,P004,S101,2024-01-04,280,26625
9d190af1,P003,S101,2024-01-05,353,24001
9f4feb1d,P004,S101,2024-01-06,227,7400
a90d980b,P003,S102,2024-01-07,101,28456
1db1c91b,P005,S104,2024-01-08,499,1218
727832c2,P004,S103,2024-01-09,34,28115
206cb2f8,P002,S103,2024-01-10,25,6962
a415173e,P003,S103,2024-01-11,370,7210
d898e23f,P005,S102,2024-01-12,499,34282
3d1a94a4,P001,S103,2024-01-13,250,18744
5ffe8ed5,P005,S103,2024-01-14,475,35473
bdb0247e,P003,S102,2024-01-15,286,19712
302e0ea0,P004,S102,2024-01-16,419,47851
c9a63bda,P005,S102,2024-01-17,345,14683
fb153452,P001,S104,2024-01-18,179,29556
7c195666,P002,S102,2024-01-19,325,24169
e75d3c42,P002,S104,2024-01-20,11,29447
42c2e08d,P003,S103,2024-01-21,421,4528
3cb9a0f9,P001,S101,2024-01-22,151,47140
4478a5a8,P004,S104,2024-01-23,465,46736
4a76b4cb,P004,S103,2024-01-24,22,15042
0588b904,P003,S104,2024-01-25,460,7665
a4a5f152,P003,S103,2024-01-26,10,41280
9286ab03,P005,S104,2024-01-27,392,31435
34d00b74,P004,S102,2024-01-28,383,3865
c4934eeb,P003,S103,2024-01-29,197,4040
3b6a3572,P005,S101,2024-01-30,375,36077
5ec5b62f,P004,S101,2024-01-31,427,19891
b66bb70c,P002,S102,2024-02-01,461,44338
be7e786a,P002,S103,2024-02-02,150,49187
129a06c3,P004,S101,2024-02-03,497,2468
be0c6798,P005,S103,2024-02-04,26,2278
35b74952,P005,S102,2024-02-05,58,6623
c53cf70c,P002,S104,2024-02-06,273,22664
1474354c,P005,S101,2024-02-07,99,22104
70f03bce,P001,S101,2024-02-08,66,43423
718b4d79,P002,S104,2024-02-09,222,35260
a14a5b90,P003,S104,2024-02-10,128,26978
45cf015f,P001,S103,2024-02-11,26,43808
e21bd2ee,P003,S103,2024-02-12,48,30804
0f7f5d66,P002,S102,2024-02-13,330,10166
51f63111,P005,S104,2024-02-14,228,42056
6dda9f06,P004,S102,2024-02-15,84,32216
c3967230,P001,S102,2024-02-16,382,26432
11706880,P004,S101,2024-02-17,462,31479
b03e72d2,P005,S104,2024-02-18,419,32556
4fde3652,P003,S104,2024-02-19,470,17998
1402a032,P001,S101,2024-02-20,393,10661
9901322f,P005,S103,2024-02-21,345,41675
228282e3,P001,S104,2024-02-22,455,34490
8e618c2b,P003,S104,2024-02-23,86,43412
d665f113,P003,S103,2024-02-24,85,2008
4538b16b,P004,S103,2024-02-25,299,21369
3c732f99,P002,S104,2024-02-26,320,6965
ff46bfdd,P002,S101,2024-02-27,236,39883
2b9c5f9a,P002,S103,2024-02-28,235,20852
06c9e108,P002,S102,2024-02-29,451,4757
afacdf9b,P001,S103,2024-03-01,102,35112
e176899d,P001,S101,2024-03-02,227,34825
dfa53639,P003,S104,2024-03-03,451,12321
62853d2f,P001,S104,2024-03-04,189,32644
18d00a79,P005,S103,2024-03-05,308,5504
f13cb7a6,P001,S104,2024-03-06,416,39292
42daf547,P005,S101,2024-03-07,134,21600
a7f7a255,P001,S103,2024-03-08,315,36833
c527c90f,P005,S104,2024-03-09,217,45419
ca7baf89,P001,S102,2024-03-10,134,16512
7df45121,P002,S102,2024-03-11,470,46752
99866927,P001,S103,2024-03-12,403,45881
d02183d4,P004,S104,2024-03-13,286,18460
553b8f10,P001,S102,2024-03-14,243,23559
f8795b10,P005,S104,2024-03-15,224,15702
f458a385,P004,S101,2024-03-16,346,4668
4c432ead,P005,S104,2024-03-17,343,31022
40484a68,P001,S102,2024-03-18,357,6285
47ebc7cc,P003,S103,2024-03-19,55,34050
e69a71a3,P005,S104,2024-03-20,125,6133
fbce999b,P003,S101,2024-03-21,125,4046
c1a66106,P003,S103,2024-03-22,216,48359
726d1630,P005,S101,2024-03-23,312,17545
1c35d97b,P001,S103,2024-03-24,350,19092
267b2d8b,P005,S101,2024-03-25,153,6685
5e2d4f0a,P003,S104,2024-03-26,84,21548
26182d1d,P001,S103,2024-03-27,95,40260
3412aa3b,P002,S102,2024-03-28,40,37419
