Accident_ID,Date_Time,Location,Weather_Condition,Road_Condition,Vehicle_Type,Accident_Severity,Number_of_Vehicles,Casualties,Traffic_Density
d02b3836,2024-01-01 00:00:00,Suburbs,Fog,Icy,Bus,Minor,2,6,Low
694c8577,2024-01-01 01:00:00,Downtown,Clear,Icy,Bus,Minor,2,2,Low
e0ed5c55,2024-01-01 02:00:00,Residential Zone,Snow,Dry,Motorcycle,Moderate,4,5,Moderate
6a78511a,2024-01-01 03:00:00,Downtown,Fog,Icy,Bicycle,Moderate,3,8,Moderate
547bf4c2,2024-01-01 04:00:00,Highway,Storm,Under Construction,Bus,Moderate,4,1,High
1c7306c7,2024-01-01 05:00:00,Suburbs,Clear,Wet,Car,Fatal,2,8,Moderate
a5557a6b,2024-01-01 06:00:00,Suburbs,Storm,Icy,Motorcycle,Moderate,4,5,Moderate
3ee0c9e2,2024-01-01 07:00:00,Downtown,Fog,Wet,Car,Moderate,2,8,Low
f41e8530,2024-01-01 08:00:00,Suburbs,Rain,Dry,Bicycle,Moderate,2,1,High
6967fadc,2024-01-01 09:00:00,Highway,Clear,Dry,Bus,Severe,3,7,High
d001a524,2024-01-01 10:00:00,Suburbs,Snow,Wet,Bus,Severe,4,3,High
914a6381,2024-01-01 11:00:00,Residential Zone,Rain,Wet,Car,Minor,2,8,Moderate
fceccb8a,2024-01-01 12:00:00,Downtown,Storm,Under Construction,Bus,Moderate,1,9,Moderate
72a145ef,2024-01-01 13:00:00,Industrial Area,Fog,Wet,Car,Severe,3,2,Low
0fbf08bf,2024-01-01 14:00:00,Suburbs,Fog,Wet,Bus,Moderate,2,1,Moderate
774e89b1,2024-01-01 15:00:00,Suburbs,Clear,Dry,Bus,Severe,4,1,Low
4d1305c0,2024-01-01 16:00:00,Industrial Area,Rain,Icy,Truck,Fatal,4,1,Low
ae723948,2024-01-01 17:00:00,Industrial Area,Fog,Wet,Motorcycle,Fatal,3,7,High
d199146e,2024-01-01 18:00:00,Highway,Snow,Wet,Truck,Moderate,1,1,Moderate
18ea0732,2024-01-01 19:00:00,Highway,Clear,Icy,Bus,Minor,4,4,Moderate
2a447bbf,2024-01-01 20:00:00,Suburbs,Storm,Icy,Car,Severe,2,4,High
e3cd5130,2024-01-01 21:00:00,Suburbs,Rain,Dry,Car,Fatal,2,8,Low
65ba6af9,2024-01-01 22:00:00,Suburbs,Snow,Icy,Bus,Fatal,3,7,High
f776f5df,2024-01-01 23:00:00,Suburbs,Fog,Dry,Bus,Severe,3,6,High
1dfa9177,2024-01-02 00:00:00,Highway,Fog,Icy,Bus,Severe,4,4,High
2e8c6c11,2024-01-02 01:00:00,Suburbs,Clear,Wet,Bicycle,Minor,1,8,High
cb09e687,2024-01-02 02:00:00,Suburbs,Fog,Under Construction,Bicycle,Minor,3,9,Moderate
454ab370,2024-01-02 03:00:00,Downtown,Snow,Dry,Bicycle,Moderate,2,7,Moderate
cfb4972f,2024-01-02 04:00:00,Highway,Storm,Wet,Bicycle,Minor,1,9,Moderate
e680df77,2024-01-02 05:00:00,Residential Zone,Snow,Under Construction,Truck,Moderate,2,3,Low
731eab8f,2024-01-02 06:00:00,Suburbs,Snow,Icy,Truck,Severe,4,2,Moderate
15c44895,2024-01-02 07:00:00,Industrial Area,Rain,Icy,Bicycle,Minor,2,1,Low
4eb2ef8d,2024-01-02 08:00:00,Highway,Clear,Dry,Car,Fatal,2,2,High
8ad82a24,2024-01-02 09:00:00,Residential Zone,Fog,Wet,Bicycle,Minor,4,6,Low
a2bb5c7e,2024-01-02 10:00:00,Suburbs,Rain,Wet,Bus,Minor,1,2,High
5817606a,2024-01-02 11:00:00,Suburbs,Storm,Dry,Truck,Severe,3,3,Low
985b73f1,2024-01-02 12:00:00,Highway,Snow,Dry,Bus,Severe,4,6,Moderate
f47b37a1,2024-01-02 13:00:00,Suburbs,Fog,Icy,Car,Minor,4,1,High
9c4583ef,2024-01-02 14:00:00,Suburbs,Rain,Dry,Bicycle,Severe,3,8,Moderate
653c88e5,2024-01-02 15:00:00,Industrial Area,Snow,Dry,Bicycle,Fatal,3,0,High
64816592,2024-01-02 16:00:00,Downtown,Clear,Under Construction,Motorcycle,Fatal,4,1,Low
5bae2635,2024-01-02 17:00:00,Suburbs,Clear,Icy,Bus,Minor,1,1,Moderate
e3764f3d,2024-01-02 18:00:00,Downtown,Snow,Wet,Truck,Minor,3,1,High
e96de8cf,2024-01-02 19:00:00,Residential Zone,Rain,Wet,Motorcycle,Fatal,2,2,High
ed5d34ad,2024-01-02 20:00:00,Highway,Clear,Under Construction,Car,Moderate,4,4,Moderate
7c31b0b8,2024-01-02 21:00:00,Suburbs,Fog,Wet,Truck,Severe,1,7,High
6f0f12b0,2024-01-02 22:00:00,Industrial Area,Clear,Under Construction,Car,Severe,1,0,Low
6c7b9001,2024-01-02 23:00:00,Residential Zone,Storm,Under Construction,Motorcycle,Fatal,3,1,Moderate
203c24d7,2024-01-03 00:00:00,Highway,Snow,Wet,Truck,Moderate,4,9,Low
290f1348,2024-01-03 01:00:00,Residential Zone,Snow,Icy,Bicycle,Fatal,4,2,Moderate
cec92537,2024-01-03 02:00:00,Highway,Snow,Wet,Motorcycle,Fatal,2,0,Low
0914652a,2024-01-03 03:00:00,Residential Zone,Snow,Icy,Motorcycle,Minor,2,9,Low
4a35faca,2024-01-03 04:00:00,Residential Zone,Clear,Under Construction,Car,Severe,3,3,Moderate
36512636,2024-01-03 05:00:00,Downtown,Snow,Dry,Bicycle,Fatal,3,5,High
13e01dcb,2024-01-03 06:00:00,Residential Zone,Rain,Icy,Car,Severe,2,7,Low
525edd83,2024-01-03 07:00:00,Downtown,Rain,Dry,Motorcycle,Minor,2,7,Low
b6d43c89,2024-01-03 08:00:00,Downtown,Fog,Dry,Bus,Minor,1,4,High
0fedb4fe,2024-01-03 09:00:00,Highway,Fog,Wet,Car,Severe,2,5,Low
84df2b3e,2024-01-03 10:00:00,Downtown,Rain,Under Construction,Car,Moderate,2,2,Low
38878028,2024-01-03 11:00:00,Industrial Area,Snow,Wet,Motorcycle,Severe,2,7,Moderate
a53e10ae,2024-01-03 12:00:00,Highway,Snow,Dry,Truck,Severe,2,1,Low
bd9e4fb5,2024-01-03 13:00:00,Downtown,Clear,Under Construction,Bicycle,Severe,2,4,Moderate
fa660fc0,2024-01-03 14:00:00,Downtown,Fog,Under Construction,Bus,Moderate,1,4,Moderate
a4687197,2024-01-03 15:00:00,Industrial Area,Fog,Dry,Bus,Moderate,1,7,High
8417f7d9,2024-01-03 16:00:00,Residential Zone,Snow,Wet,Motorcycle,Minor,4,7,Moderate
4f3d6a1a,2024-01-03 17:00:00,Downtown,Storm,Dry,Bus,Minor,3,9,Moderate
83f4948e,2024-01-03 18:00:00,Downtown,Storm,Wet,Bus,Fatal,2,8,Moderate
d35af415,2024-01-03 19:00:00,Highway,Fog,Icy,Motorcycle,Moderate,3,8,Low
704acabe,2024-01-03 20:00:00,Highway,Snow,Dry,Bicycle,Severe,4,5,High
4d1ef1ee,2024-01-03 21:00:00,Suburbs,Rain,Dry,Truck,Moderate,4,6,High
38a06fd8,2024-01-03 22:00:00,Highway,Storm,Under Construction,Motorcycle,Severe,2,2,Moderate
6b59ff53,2024-01-03 23:00:00,Suburbs,Fog,Wet,Car,Fatal,4,0,Low
4ac55f98,2024-01-04 00:00:00,Residential Zone,Snow,Wet,Motorcycle,Fatal,1,6,Low
1305ed3b,2024-01-04 01:00:00,Suburbs,Snow,Under Construction,Motorcycle,Severe,4,2,High
1c876aae,2024-01-04 02:00:00,Residential Zone,Snow,Under Construction,Bicycle,Fatal,2,0,Moderate
eae25b9d,2024-01-04 03:00:00,Downtown,Fog,Under Construction,Bicycle,Severe,4,6,Moderate
03d9df09,2024-01-04 04:00:00,Highway,Rain,Wet,Truck,Moderate,2,9,Low
c69c03a8,2024-01-04 05:00:00,Highway,Storm,Dry,Car,Severe,3,3,Low
184e819f,2024-01-04 06:00:00,Industrial Area,Clear,Icy,Bicycle,Moderate,4,2,High
cc499d05,2024-01-04 07:00:00,Industrial Area,Snow,Icy,Truck,Severe,1,2,Moderate
be96ead2,2024-01-04 08:00:00,Residential Zone,Storm,Icy,Car,Fatal,3,9,Moderate
14123681,2024-01-04 09:00:00,Downtown,Storm,Wet,Bicycle,Fatal,2,9,Low
1e456980,2024-01-04 10:00:00,Suburbs,Clear,Dry,Car,Severe,4,1,High
d9a58b86,2024-01-04 11:00:00,Suburbs,Snow,Icy,Truck,Fatal,1,6,Low
46918492,2024-01-04 12:00:00,Industrial Area,Clear,Dry,Bus,Severe,4,9,Moderate
d98f17f1,2024-01-04 13:00:00,Downtown,Snow,Dry,Bicycle,Moderate,2,5,Moderate
6dc75e01,2024-01-04 14:00:00,Downtown,Rain,Under Construction,Motorcycle,Minor,2,4,High
261f3a47,2024-01-04 15:00:00,Highway,Rain,Wet,Truck,Minor,3,1,Low
0e79bbde,2024-01-04 16:00:00,Residential Zone,Fog,Icy,Truck,Moderate,3,2,Low
e4fb489c,2024-01-04 17:00:00,Suburbs,Snow,Under Construction,Bicycle,Minor,1,3,High
10948714,2024-01-04 18:00:00,Suburbs,Rain,Under Construction,Motorcycle,Minor,1,5,Low
e9226880,2024-01-04 19:00:00,Suburbs,Clear,Under Construction,Truck,Minor,3,4,High
2e574288,2024-01-04 20:00:00,Suburbs,Snow,Under Construction,Bicycle,Severe,3,5,Moderate
09a977f4,2024-01-04 21:00:00,Industrial Area,Clear,Icy,Truck,Fatal,3,1,Low
70b3a1ae,2024-01-04 22:00:00,Industrial Area,Fog,Under Construction,Bus,Minor,4,4,Moderate
e139c4fc,2024-01-04 23:00:00,Downtown,Snow,Icy,Bus,Minor,2,9,Moderate
ba6556a6,2024-01-05 00:00:00,Industrial Area,Fog,Wet,Car,Severe,3,1,High
e9af12dd,2024-01-05 01:00:00,Highway,Storm,Wet,Motorcycle,Moderate,4,7,Moderate
7b1e8b41,2024-01-05 02:00:00,Industrial Area,Storm,Icy,Bicycle,Minor,4,4,Moderate
c75ef4ac,2024-01-05 03:00:00,Industrial Area,Snow,Icy,Car,Fatal,3,5,High
c72ebd7c,2024-01-05 04:00:00,Downtown,Clear,Wet,Bicycle,Moderate,2,8,Moderate
7f8a981e,2024-01-05 05:00:00,Downtown,Rain,Under Construction,Truck,Severe,2,7,Low
a6a21ed7,2024-01-05 06:00:00,Residential Zone,Clear,Icy,Truck,Minor,1,2,Low
1f979165,2024-01-05 07:00:00,Industrial Area,Storm,Dry,Motorcycle,Fatal,1,7,High
29350737,2024-01-05 08:00:00,Suburbs,Snow,Icy,Motorcycle,Minor,2,0,High
b30f80de,2024-01-05 09:00:00,Residential Zone,Snow,Wet,Truck,Fatal,3,4,Moderate
21808e56,2024-01-05 10:00:00,Industrial Area,Fog,Under Construction,Bicycle,Moderate,1,6,Low
314500dc,2024-01-05 11:00:00,Industrial Area,Fog,Wet,Motorcycle,Minor,1,3,High
b7fc8ca0,2024-01-05 12:00:00,Residential Zone,Fog,Wet,Bicycle,Moderate,2,6,Moderate
55398b55,2024-01-05 13:00:00,Downtown,Storm,Under Construction,Bus,Moderate,3,7,Moderate
3555e4c1,2024-01-05 14:00:00,Industrial Area,Storm,Wet,Car,Severe,1,7,Low
7d4a584f,2024-01-05 15:00:00,Industrial Area,Fog,Dry,Car,Minor,1,0,High
c00fd1d9,2024-01-05 16:00:00,Highway,Snow,Dry,Bicycle,Fatal,2,2,Low
a54907d6,2024-01-05 17:00:00,Suburbs,Clear,Icy,Bus,Moderate,1,9,Moderate
7cb22bc3,2024-01-05 18:00:00,Downtown,Clear,Wet,Car,Fatal,3,8,Moderate
79c7bab1,2024-01-05 19:00:00,Suburbs,Snow,Under Construction,Bicycle,Severe,2,2,Low
0da56507,2024-01-05 20:00:00,Industrial Area,Snow,Icy,Car,Moderate,2,0,Low
82210b82,2024-01-05 21:00:00,Industrial Area,Snow,Icy,Truck,Severe,1,6,Moderate
787c4667,2024-01-05 22:00:00,Residential Zone,Rain,Wet,Motorcycle,Severe,1,6,High
794e8e0f,2024-01-05 23:00:00,Industrial Area,Clear,Under Construction,Truck,Severe,1,2,Moderate
69cebbf0,2024-01-06 00:00:00,Industrial Area,Storm,Under Construction,Car,Fatal,1,1,Moderate
3d35e312,2024-01-06 01:00:00,Downtown,Snow,Under Construction,Motorcycle,Fatal,3,2,High
c0ea10e1,2024-01-06 02:00:00,Residential Zone,Clear,Under Construction,Bus,Severe,4,0,Low
ddb42343,2024-01-06 03:00:00,Residential Zone,Fog,Under Construction,Bicycle,Severe,2,9,High
2b2c95d2,2024-01-06 04:00:00,Industrial Area,Snow,Under Construction,Truck,Fatal,3,7,Moderate
b3189f3c,2024-01-06 05:00:00,Residential Zone,Rain,Dry,Bicycle,Severe,2,8,Low
9639dff0,2024-01-06 06:00:00,Downtown,Fog,Under Construction,Bicycle,Severe,3,6,High
4744411b,2024-01-06 07:00:00,Residential Zone,Fog,Under Construction,Truck,Minor,2,7,Low
5bf26563,2024-01-06 08:00:00,Downtown,Rain,Dry,Bus,Moderate,1,2,Low
1710cdaa,2024-01-06 09:00:00,Residential Zone,Clear,Wet,Bus,Fatal,3,5,High
aba38266,2024-01-06 10:00:00,Industrial Area,Fog,Wet,Truck,Moderate,2,6,Moderate
684c547e,2024-01-06 11:00:00,Industrial Area,Rain,Under Construction,Motorcycle,Minor,4,2,Low
7905b8f1,2024-01-06 12:00:00,Industrial Area,Snow,Dry,Bus,Moderate,3,9,High
05c87255,2024-01-06 13:00:00,Downtown,Fog,Icy,Car,Fatal,1,6,Moderate
bceb0b32,2024-01-06 14:00:00,Industrial Area,Storm,Dry,Motorcycle,Minor,2,7,High
221f1d62,2024-01-06 15:00:00,Downtown,Rain,Icy,Bicycle,Fatal,4,1,High
dd6198d6,2024-01-06 16:00:00,Residential Zone,Storm,Dry,Car,Moderate,2,0,Moderate
cf933972,2024-01-06 17:00:00,Industrial Area,Fog,Dry,Truck,Fatal,4,7,Low
12036898,2024-01-06 18:00:00,Industrial Area,Storm,Wet,Car,Fatal,3,1,Low
0a122a30,2024-01-06 19:00:00,Industrial Area,Snow,Wet,Truck,Severe,3,8,Low
ee4ab1f7,2024-01-06 20:00:00,Downtown,Snow,Under Construction,Bus,Minor,1,3,Moderate
d091264d,2024-01-06 21:00:00,Industrial Area,Fog,Wet,Bicycle,Moderate,2,4,Moderate
e6ae8ddb,2024-01-06 22:00:00,Industrial Area,Fog,Dry,Motorcycle,Moderate,2,4,Low
8318deb4,2024-01-06 23:00:00,Industrial Area,Clear,Icy,Car,Fatal,3,8,Moderate
ed0068f5,2024-01-07 00:00:00,Downtown,Fog,Under Construction,Bicycle,Fatal,3,9,High
781408db,2024-01-07 01:00:00,Industrial Area,Snow,Dry,Bicycle,Moderate,4,9,Moderate
b34e5aec,2024-01-07 02:00:00,Industrial Area,Clear,Dry,Bicycle,Severe,4,8,Low
1982dae9,2024-01-07 03:00:00,Suburbs,Clear,Wet,Truck,Moderate,4,9,Low
8285655c,2024-01-07 04:00:00,Industrial Area,Snow,Dry,Bicycle,Fatal,2,1,Low
6ff51e5f,2024-01-07 05:00:00,Suburbs,Rain,Under Construction,Car,Severe,2,6,Moderate
db56cc8b,2024-01-07 06:00:00,Residential Zone,Clear,Under Construction,Bicycle,Severe,3,9,Low
8313f700,2024-01-07 07:00:00,Residential Zone,Storm,Icy,Motorcycle,Moderate,2,1,Low
707ea6f7,2024-01-07 08:00:00,Downtown,Fog,Under Construction,Bicycle,Minor,2,9,Low
c7b54590,2024-01-07 09:00:00,Residential Zone,Fog,Under Construction,Bus,Fatal,4,3,Moderate
b7442498,2024-01-07 10:00:00,Industrial Area,Snow,Icy,Truck,Severe,1,5,Moderate
74ae17a4,2024-01-07 11:00:00,Industrial Area,Fog,Icy,Car,Minor,4,3,High
662cd9f9,2024-01-07 12:00:00,Suburbs,Fog,Wet,Truck,Moderate,4,9,Moderate
1603af7a,2024-01-07 13:00:00,Highway,Clear,Under Construction,Car,Minor,2,0,Moderate
1377c7f0,2024-01-07 14:00:00,Suburbs,Clear,Under Construction,Car,Minor,3,2,Low
14e69ea2,2024-01-07 15:00:00,Downtown,Rain,Dry,Car,Fatal,4,7,Moderate
81bb958a,2024-01-07 16:00:00,Downtown,Snow,Under Construction,Car,Moderate,4,8,Low
3f47de85,2024-01-07 17:00:00,Industrial Area,Snow,Wet,Bus,Fatal,2,2,Moderate
2c9a9978,2024-01-07 18:00:00,Downtown,Clear,Icy,Truck,Minor,2,5,Low
20257454,2024-01-07 19:00:00,Highway,Rain,Icy,Motorcycle,Minor,3,2,Moderate
24aee600,2024-01-07 20:00:00,Highway,Storm,Wet,Truck,Moderate,1,7,Moderate
8205bf73,2024-01-07 21:00:00,Residential Zone,Snow,Icy,Bicycle,Moderate,3,3,Low
36f2313e,2024-01-07 22:00:00,Highway,Snow,Dry,Car,Minor,3,4,High
a874672d,2024-01-07 23:00:00,Residential Zone,Snow,Dry,Car,Severe,4,5,Moderate
4ca1045c,2024-01-08 00:00:00,Highway,Clear,Dry,Car,Minor,1,9,Low
cd0820db,2024-01-08 01:00:00,Residential Zone,Clear,Icy,Bus,Severe,2,2,Moderate
daadf78e,2024-01-08 02:00:00,Downtown,Snow,Under Construction,Bus,Severe,2,4,High
5781f618,2024-01-08 03:00:00,Highway,Snow,Under Construction,Bicycle,Moderate,4,5,Low
84788baa,2024-01-08 04:00:00,Downtown,Clear,Dry,Bicycle,Fatal,3,8,High
fca10a63,2024-01-08 05:00:00,Industrial Area,Fog,Wet,Bus,Moderate,1,3,Low
917d3ea9,2024-01-08 06:00:00,Highway,Rain,Wet,Bicycle,Minor,2,4,Low
b5644b4e,2024-01-08 07:00:00,Residential Zone,Clear,Dry,Truck,Fatal,3,8,Low
c51e1b57,2024-01-08 08:00:00,Residential Zone,Rain,Wet,Bus,Fatal,3,9,Low
2c3bfbaa,2024-01-08 09:00:00,Highway,Rain,Icy,Motorcycle,Severe,1,7,Moderate
017b07e3,2024-01-08 10:00:00,Residential Zone,Rain,Wet,Truck,Fatal,1,9,High
f50c799e,2024-01-08 11:00:00,Downtown,Snow,Icy,Bicycle,Moderate,1,9,High
b2990343,2024-01-08 12:00:00,Suburbs,Fog,Icy,Motorcycle,Fatal,4,1,Moderate
7c087d1f,2024-01-08 13:00:00,Industrial Area,Clear,Dry,Motorcycle,Minor,2,2,High
1bfaba7b,2024-01-08 14:00:00,Downtown,Clear,Wet,Car,Minor,3,6,Moderate
b6cde1cd,2024-01-08 15:00:00,Industrial Area,Clear,Wet,Truck,Moderate,3,3,High
1636a12b,2024-01-08 16:00:00,Residential Zone,Snow,Icy,Truck,Minor,2,5,Moderate
f55b6ad7,2024-01-08 17:00:00,Highway,Fog,Dry,Truck,Moderate,3,0,Moderate
c406aa94,2024-01-08 18:00:00,Suburbs,Fog,Dry,Motorcycle,Severe,1,9,High
42a9be00,2024-01-08 19:00:00,Suburbs,Rain,Under Construction,Bicycle,Fatal,3,4,High
7689d102,2024-01-08 20:00:00,Suburbs,Rain,Icy,Bus,Minor,4,4,Low
9646e55d,2024-01-08 21:00:00,Industrial Area,Clear,Dry,Bicycle,Fatal,3,8,High
c7369522,2024-01-08 22:00:00,Highway,Storm,Dry,Bus,Fatal,2,3,Low
5ac1ffe7,2024-01-08 23:00:00,Highway,Rain,Dry,Motorcycle,Severe,3,7,High
39b37044,2024-01-09 00:00:00,Highway,Storm,Icy,Truck,Fatal,3,8,High
3eba79c0,2024-01-09 01:00:00,Highway,Snow,Wet,Car,Severe,3,0,High
db520970,2024-01-09 02:00:00,Industrial Area,Fog,Under Construction,Truck,Minor,3,4,Low
85ad1e6b,2024-01-09 03:00:00,Suburbs,Rain,Under Construction,Motorcycle,Severe,3,1,Low
1bc2a02b,2024-01-09 04:00:00,Highway,Storm,Under Construction,Car,Fatal,1,7,High
c65bf1ea,2024-01-09 05:00:00,Downtown,Storm,Dry,Motorcycle,Minor,1,9,High
28158510,2024-01-09 06:00:00,Downtown,Rain,Dry,Motorcycle,Moderate,4,2,High
58dc06d3,2024-01-09 07:00:00,Highway,Storm,Under Construction,Car,Minor,1,9,High
ca601730,2024-01-09 08:00:00,Residential Zone,Rain,Wet,Car,Severe,1,3,High
1d7a97c8,2024-01-09 09:00:00,Downtown,Rain,Wet,Bus,Severe,3,2,Moderate
1e3fc860,2024-01-09 10:00:00,Industrial Area,Clear,Under Construction,Car,Moderate,2,8,Low
b3599512,2024-01-09 11:00:00,Highway,Snow,Under Construction,Truck,Minor,2,2,Moderate
c4171d8f,2024-01-09 12:00:00,Residential Zone,Storm,Icy,Bicycle,Moderate,2,1,Moderate
282f03dc,2024-01-09 13:00:00,Suburbs,Snow,Icy,Motorcycle,Minor,4,8,Low
c33545b8,2024-01-09 14:00:00,Suburbs,Snow,Icy,Car,Moderate,2,8,High
9430b765,2024-01-09 15:00:00,Downtown,Clear,Icy,Bicycle,Severe,2,7,Moderate
e16952c5,2024-01-09 16:00:00,Highway,Rain,Icy,Bicycle,Severe,4,4,Low
b946811a,2024-01-09 17:00:00,Highway,Clear,Dry,Truck,Fatal,3,4,Moderate
bc403319,2024-01-09 18:00:00,Downtown,Rain,Wet,Bicycle,Minor,2,1,Low
f128e23a,2024-01-09 19:00:00,Industrial Area,Rain,Wet,Bus,Severe,1,1,High
fb21e357,2024-01-09 20:00:00,Highway,Snow,Dry,Car,Moderate,1,4,Moderate
ad6a9294,2024-01-09 21:00:00,Industrial Area,Storm,Wet,Bus,Minor,4,1,Low
e521b132,2024-01-09 22:00:00,Residential Zone,Fog,Icy,Bicycle,Minor,2,8,High
48a60dbf,2024-01-09 23:00:00,Suburbs,Clear,Wet,Motorcycle,Fatal,4,6,Moderate
1e3f8df8,2024-01-10 00:00:00,Suburbs,Rain,Dry,Bicycle,Severe,3,7,Low
71967fab,2024-01-10 01:00:00,Industrial Area,Storm,Dry,Car,Fatal,1,4,High
eeea9b48,2024-01-10 02:00:00,Highway,Snow,Under Construction,Truck,Moderate,2,4,High
01fa8486,2024-01-10 03:00:00,Suburbs,Snow,Under Construction,Truck,Fatal,2,7,Low
4cd9669c,2024-01-10 04:00:00,Highway,Clear,Wet,Car,Moderate,1,4,Low
4c3dfb09,2024-01-10 05:00:00,Industrial Area,Storm,Icy,Truck,Minor,4,1,High
bef78e74,2024-01-10 06:00:00,Suburbs,Rain,Icy,Car,Moderate,3,2,Low
475ec38c,2024-01-10 07:00:00,Downtown,Rain,Icy,Car,Fatal,1,0,High
e074bb32,2024-01-10 08:00:00,Residential Zone,Fog,Under Construction,Car,Minor,3,6,High
a2d0e3c1,2024-01-10 09:00:00,Suburbs,Snow,Dry,Truck,Moderate,1,2,High
73439251,2024-01-10 10:00:00,Residential Zone,Clear,Wet,Car,Fatal,4,9,High
b4f09a76,2024-01-10 11:00:00,Suburbs,Storm,Icy,Truck,Minor,2,7,High
077ee6d0,2024-01-10 12:00:00,Downtown,Clear,Dry,Truck,Severe,1,9,Moderate
d7a03a49,2024-01-10 13:00:00,Suburbs,Storm,Dry,Bus,Minor,3,1,Moderate
0aad4e97,2024-01-10 14:00:00,Downtown,Clear,Icy,Bicycle,Fatal,4,3,Moderate
80225a77,2024-01-10 15:00:00,Residential Zone,Snow,Dry,Truck,Minor,2,5,High
c1cbbe8c,2024-01-10 16:00:00,Suburbs,Fog,Icy,Motorcycle,Fatal,2,1,Moderate
d705f9ab,2024-01-10 17:00:00,Downtown,Clear,Icy,Bus,Moderate,1,0,High
5314fbe7,2024-01-10 18:00:00,Residential Zone,Snow,Icy,Car,Fatal,4,7,High
4222fb05,2024-01-10 19:00:00,Residential Zone,Rain,Wet,Bicycle,Fatal,2,6,High
8530f262,2024-01-10 20:00:00,Suburbs,Rain,Under Construction,Bicycle,Severe,2,0,Low
85fa7e44,2024-01-10 21:00:00,Residential Zone,Snow,Icy,Bicycle,Moderate,1,8,High
4bac110f,2024-01-10 22:00:00,Highway,Storm,Under Construction,Motorcycle,Minor,4,8,High
ad5b447f,2024-01-10 23:00:00,Suburbs,Fog,Wet,Truck,Moderate,2,2,High
ec1a28df,2024-01-11 00:00:00,Highway,Snow,Dry,Car,Fatal,4,7,Low
ddad293e,2024-01-11 01:00:00,Highway,Snow,Wet,Car,Fatal,1,3,Low
587de116,2024-01-11 02:00:00,Downtown,Clear,Dry,Car,Moderate,1,0,Low
d9bdc2f0,2024-01-11 03:00:00,Suburbs,Fog,Icy,Bicycle,Minor,4,8,Low
1716c2f5,2024-01-11 04:00:00,Residential Zone,Rain,Under Construction,Bus,Minor,1,4,Moderate
7dcecce9,2024-01-11 05:00:00,Highway,Clear,Wet,Car,Severe,1,1,Moderate
806afa04,2024-01-11 06:00:00,Residential Zone,Clear,Under Construction,Bicycle,Fatal,3,6,Moderate
d972eb60,2024-01-11 07:00:00,Suburbs,Storm,Dry,Car,Moderate,1,7,High
99fce65a,2024-01-11 08:00:00,Downtown,Fog,Under Construction,Bicycle,Fatal,3,7,Low
a13b0a38,2024-01-11 09:00:00,Suburbs,Clear,Dry,Truck,Moderate,4,2,High
14da5dcf,2024-01-11 10:00:00,Residential Zone,Clear,Wet,Car,Fatal,2,4,High
0d6f6347,2024-01-11 11:00:00,Suburbs,Snow,Icy,Motorcycle,Minor,4,1,High
